632430;111;Depósito;222222;2025-12-09 01:18:20;0;222222
72629;111;Depósito;0;2025-12-09 01:19:11;0;0
387181;111;Depósito;1221212;2025-12-09 01:21:03;0;1221212
942367;111;Retiro;2222;2025-12-09 01:21:08;1221212;1218990
176012;555;Depósito;300000;2025-12-09 01:38:01;0;300000
827323;555;Retiro;1000;2025-12-09 01:38:17;300000;299000
827323;555;Retiro;1000;2025-12-09 01:38:17;300000;299000
661599;555;Retiro;1000;2025-12-09 01:38:23;299000;298000
661599;555;Retiro;1000;2025-12-09 01:38:23;299000;298000
750001;555;Retiro;1000;2025-12-09 01:38:28;298000;297000
108807;555;Retiro;1000;2025-12-09 01:38:28;298000;297000
387066;555;Retiro;1000;2025-12-09 01:38:41;297000;295900
387066;555;Retiro;1000;2025-12-09 01:38:41;297000;295900
844524;555;Retiro;200;2025-12-09 01:39:17;295900;295600
844524;555;Retiro;200;2025-12-09 01:39:17;295900;295600
